| name | profile | started | first_trade | last_trade | trading_days | trading_hours | total_fills | fills_received | fills_sent | initial_deposit | cumul_deposits | total_withdrawn | net_invested | realized_pnl | total_profit | total_loss | win_rate_pct | pnl_per_fill_cents | pnl_per_fill_pct | sharpe | usdc_balance | roic_pct | maker_taker_ratio | top_market |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 0x8dxd | https://polymarket.com/@0x8dxd |  | 2025-12-04 12:03:09.000 UTC | 2026-02-26 20:03:42.000 UTC | 85 | 1979 | 2102400 | 0 | 2102400 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 999.0 |  |
| gabagool22 | https://polymarket.com/@gabagool22 |  | 2025-10-29 09:16:53.000 UTC | 2026-02-20 09:06:14.000 UTC | 115 | 2710 | 171000 | 0 | 171000 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 999.0 |  |
| k9Q2mX4L8A7ZP3R | https://polymarket.com/@k9Q2mX4L8A7ZP3R |  | 2025-12-17 06:38:41.000 UTC | 2026-02-26 16:25:34.000 UTC | 71 | 1604 | 86000 | 0 | 86000 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 999.0 |  |
| Account88888 | https://polymarket.com/@Account88888 |  | 2025-12-05 06:00:11.000 UTC | 2026-01-12 12:33:20.000 UTC | 37 | 813 | 124000 | 0 | 124000 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 999.0 |  |
| hai15617 | https://polymarket.com/@hai15617 |  | 2026-01-14 04:02:58.000 UTC | 2026-01-16 00:11:30.000 UTC | 3 | 43 | 23008 | 470 | 22538 |  |  |  |  | 128337.05 | 245534.28 | 117197.22 | 25.0 | 557.79 | 41.99 | 0.16 |  |  | 47.95 | Bitcoin Up or Down - January 14, 12:30AM |
| 15m-a4 | https://polymarket.com/@15m-a4 |  | 2025-11-23 01:45:49.000 UTC | 2026-01-07 11:07:01.000 UTC | 31 | 689 | 329053 | 204849 | 124204 |  |  |  |  | 274211.71 | 853044.67 | 578832.96 | 62.07 | 83.33 | 1.84 | 0.11 |  |  | 0.61 | Bitcoin Up or Down - December 3, 12:15AM |
| Juicy-Trailer | https://polymarket.com/@98866 |  | 2026-02-09 17:32:45.000 UTC | 2026-02-11 03:35:03.000 UTC | 3 | 14 | 119 | 99 | 20 |  |  |  |  | 368526.55 | 665485.85 | 296959.3 | 76.0 | 309686.18 | 38.29 | 0.28 |  |  | 0.2 | Bitcoin Up or Down - February 10, 1AM ET |
| Canine-Commandment | https://polymarket.com/@0x1d0034134e339a309700Ff2D34e99FA2d48b0313 |  | 2026-02-01 16:06:00.000 UTC | 2026-02-26 17:00:22.000 UTC | 26 | 599 | 87000 | 0 | 87000 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 999.0 |  |
| Square-Guy | https://polymarket.com/@0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256 |  | 2026-02-01 13:57:08.000 UTC | 2026-02-26 17:11:58.000 UTC | 26 | 602 | 123000 | 0 | 123000 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 999.0 |  |
| Overlooked-Wool | https://polymarket.com/@late-to-tomorrow |  | 2026-02-13 07:52:57.000 UTC | 2026-02-26 17:22:38.000 UTC | 14 | 321 | 248461 | 18000 | 230461 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 12.8 |  |
| sharky6999 | https://polymarket.com/@0x751a2b86cab503496efd325c8344e10159349ea1 |  | 2025-01-07 02:39:33.000 UTC | 2026-02-26 17:29:58.000 UTC | 367 | 7274 | 203287 | 39361 | 163926 |  |  |  |  | 505378.11 | 806600.48 | 301222.36 | 98.81 | 248.6 | 0.35 | 0.04 |  |  | 4.16 | Will Bitcoin dip to $90k in May? |
| ilovecircle | https://polymarket.com/@0xa9878e59934ab507f9039bcb917c1bae0451141d |  | 2025-09-08 20:27:14.000 UTC | 2026-01-28 19:17:54.000 UTC | 105 | 1964 | 29080 | 8401 | 20679 |  |  |  |  | 921582.65 | 3164313.07 | 2242730.42 | 84.41 | 3169.13 | 2.62 | 0.05 |  |  | 2.46 | Missouri vs. Vanderbilt |
| lesstidy | https://polymarket.com/@0xd4583c4704a8c2e416f0e7fa5b763f92f0291733 |  | 2025-11-28 18:18:25.000 UTC | 2026-02-26 13:21:46.000 UTC | 89 | 1335 | 6982 | 2036 | 4946 |  |  |  |  | 4388.99 | 4388.99 | 0.0 | 100.0 | 62.86 | 0.25 | 0.44 |  |  | 2.43 | Bitcoin Up or Down - January 13, 1:00AM- |
| quepasamae | https://polymarket.com/@0x23cb796cf58bfa12352f0164f479deedbd50658e |  | 2025-08-27 04:31:27.000 UTC | 2026-01-05 00:07:49.000 UTC | 125 | 2523 | 133000 | 0 | 133000 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 999.0 |  |
